S.No.,Book Title,Author,Edition,OpenURL,PDF Url
1.0,Fundamentals of Power Electronics,Robert W. Erickson  Dragan  Maksimovic,2nd ed.  2001,http://link.springer.com/openurl?genre=book&isbn=978-0-306-48048-5,link.springer.com/content/pdf/10.1007%2Fb100747.pdf
2.0,Handbook of the Life Course,Jeylan T. Mortimer  Michael J.  Shanahan,2003.0,http://link.springer.com/openurl?genre=book&isbn=978-0-306-48247-2,link.springer.com/content/pdf/10.1007%2Fb100507.pdf
3.0,All of Statistics,Larry Wasserman,2004.0,http://link.springer.com/openurl?genre=book&isbn=978-0-387-21736-9,link.springer.com/content/pdf/10.1007%2F978-0-387-21736-9.pdf
4.0,Social Anxiety and Social Phobia in Youth,Christopher Kearney,2005.0,http://link.springer.com/openurl?genre=book&isbn=978-0-387-22592-0,link.springer.com/content/pdf/10.1007%2Fb99417.pdf
5.0,Discrete Mathematics,László Lovász  József Pelikán  Katalin  Vesztergombi,2003.0,http://link.springer.com/openurl?genre=book&isbn=978-0-387-21777-2,link.springer.com/content/pdf/10.1007%2Fb97469.pdf
6.0,Developmental Neurobiology,Mahendra S. Rao  Marcus Jacobson,4th ed.  2005,http://link.springer.com/openurl?genre=book&isbn=978-0-387-28117-9,link.springer.com/content/pdf/10.1007%2F0-387-28117-7.pdf
7.0,Intuitive Probability and Random Processes using MATLAB®,Steven Kay,2006.0,http://link.springer.com/openurl?genre=book&isbn=978-0-387-24158-6,link.springer.com/content/pdf/10.1007%2Fb104645.pdf
8.0,Handbook of Disaster Research,Havidan Rodriguez  Enrico L.  Quarantelli  Russell Dynes,2006.0,http://link.springer.com/openurl?genre=book&isbn=978-0-387-32353-4,link.springer.com/content/pdf/10.1007%2F978-0-387-32353-4.pdf
9.0,Handbook of the Sociology of Gender,Janet Saltzman Chafetz,1999.0,http://link.springer.com/openurl?genre=book&isbn=978-0-387-36218-2,link.springer.com/content/pdf/10.1007%2F0-387-36218-5.pdf
10.0,Handbook of Sociological Theory,Jonathan H. Turner,2001.0,http://link.springer.com/openurl?genre=book&isbn=978-0-387-36274-8,link.springer.com/content/pdf/10.1007%2F0-387-36274-6.pdf
11.0,Clinical Neuroanatomy,John Mendoza  Anne Foundas,2008.0,http://link.springer.com/openurl?genre=book&isbn=978-0-387-36601-2,link.springer.com/content/pdf/10.1007%2F978-0-387-36601-2.pdf
12.0,Acquired Brain Injury,Jean Elbaum  Deborah Benson,2007.0,http://link.springer.com/openurl?genre=book&isbn=978-0-387-37575-5,link.springer.com/content/pdf/10.1007%2F978-0-387-37575-5.pdf
13.0,Numerical Optimization,Jorge Nocedal  Stephen Wright,2nd ed.  2006,http://link.springer.com/openurl?genre=book&isbn=978-0-387-40065-5,link.springer.com/content/pdf/10.1007%2F978-0-387-40065-5.pdf
14.0,Handbook of Biological Confocal Microscopy,James Pawley,3rd ed.  2006,http://link.springer.com/openurl?genre=book&isbn=978-0-387-45524-2,link.springer.com/content/pdf/10.1007%2F978-0-387-45524-2.pdf
15.0,Ceramic Materials,C. Barry Carter  M. Grant Norton,2007.0,http://link.springer.com/openurl?genre=book&isbn=978-0-387-46271-4,link.springer.com/content/pdf/10.1007%2F978-0-387-46271-4.pdf
16.0,Principles of Fluorescence Spectroscopy,Joseph R. Lakowicz,3rd ed.  2006,http://link.springer.com/openurl?genre=book&isbn=978-0-387-46312-4,link.springer.com/content/pdf/10.1007%2F978-0-387-46312-4.pdf
17.0,Fundamentals of Biomechanics,Duane Knudson,2nd ed.  2007,http://link.springer.com/openurl?genre=book&isbn=978-0-387-49312-1,link.springer.com/content/pdf/10.1007%2F978-0-387-49312-1.pdf
18.0,Primer on the Rheumatic Diseases,John H. Klippel  John H. Stone  L eslie J. Crofford  Patience H. White,13th ed.  2008,http://link.springer.com/openurl?genre=book&isbn=978-0-387-68566-3,link.springer.com/content/pdf/10.1007%2F978-0-387-68566-3.pdf
19.0,International Handbook of Historical Archaeology,Teresita Majewski  David Gaimster,2009.0,http://link.springer.com/openurl?genre=book&isbn=978-0-387-72071-5,link.springer.com/content/pdf/10.1007%2F978-0-387-72071-5.pdf
20.0,Database Marketing,Robert C. Blattberg  Byung-Do Kim   Scott A. Neslin,2008.0,http://link.springer.com/openurl?genre=book&isbn=978-0-387-72579-6,link.springer.com/content/pdf/10.1007%2F978-0-387-72579-6.pdf
21.0,Composite Materials,Krishan K. Chawla,3rd ed.  2012,http://link.springer.com/openurl?genre=book&isbn=978-0-387-74365-3,link.springer.com/content/pdf/10.1007%2F978-0-387-74365-3.pdf
22.0,Time Series Analysis,Jonathan D. Cryer  Kung-Sik Chan,2nd ed.  2008,http://link.springer.com/openurl?genre=book&isbn=978-0-387-75959-3,link.springer.com/content/pdf/10.1007%2F978-0-387-75959-3.pdf
23.0,Transmission Electron Microscopy,David B. Williams  C. Barry Carter,2nd ed.  2009,http://link.springer.com/openurl?genre=book&isbn=978-0-387-76501-3,link.springer.com/content/pdf/10.1007%2F978-0-387-76501-3.pdf
24.0,Handbook of Quantitative Criminology,Alex R. Piquero  David Weisburd,1st ed.  2010,http://link.springer.com/openurl?genre=book&isbn=978-0-387-77650-7,link.springer.com/content/pdf/10.1007%2F978-0-387-77650-7.pdf
25.0,Plant Physiological Ecology,Hans Lambers  F Stuart Chapin III   Thijs L. Pons,2nd ed.  2008,http://link.springer.com/openurl?genre=book&isbn=978-0-387-78341-3,link.springer.com/content/pdf/10.1007%2F978-0-387-78341-3.pdf
26.0,Introductory Statistics with R,Peter Dalgaard,2nd ed.  2008,http://link.springer.com/openurl?genre=book&isbn=978-0-387-79054-1,link.springer.com/content/pdf/10.1007%2F978-0-387-79054-1.pdf
27.0,The Elements of Statistical Learning,Trevor Hastie  Robert Tibshirani   Jerome Friedman,2nd ed.  2009,http://link.springer.com/openurl?genre=book&isbn=978-0-387-84858-7,link.springer.com/content/pdf/10.1007%2F978-0-387-84858-7.pdf
28.0,Psychology  Religion  and Spirituality,James M. Nelson,2009.0,http://link.springer.com/openurl?genre=book&isbn=978-0-387-87573-6,link.springer.com/content/pdf/10.1007%2F978-0-387-87573-6.pdf
29.0,Introductory Time Series with R,Paul S.P. Cowpertwait  Andrew V.  Metcalfe,2009.0,http://link.springer.com/openurl?genre=book&isbn=978-0-387-88698-5,link.springer.com/content/pdf/10.1007%2F978-0-387-88698-5.pdf
30.0,Child Neuropsychology,Margaret Semrud-Clikeman  Phyllis  Anne Teeter Ellison,2nd ed.  2009,http://link.springer.com/openurl?genre=book&isbn=978-0-387-88963-4,link.springer.com/content/pdf/10.1007%2F978-0-387-88963-4.pdf
31.0,A Beginner's Guide to R,Alain Zuur  Elena N. Ieno  Erik  Meesters,2009.0,http://link.springer.com/openurl?genre=book&isbn=978-0-387-93837-0,link.springer.com/content/pdf/10.1007%2F978-0-387-93837-0.pdf
32.0,Geomorphology of Desert Environments,Anthony J. Parsons  A. D. Abrahams,2nd ed.  2009,http://link.springer.com/openurl?genre=book&isbn=978-1-4020-5719-9,link.springer.com/content/pdf/10.1007%2F978-1-4020-5719-9.pdf
33.0,The Joy of Science,Richard A. Lockshin,2007.0,http://link.springer.com/openurl?genre=book&isbn=978-1-4020-6099-1,link.springer.com/content/pdf/10.1007%2F978-1-4020-6099-1.pdf
34.0,Fatigue of Structures and Materials,J. Schijve,2nd ed.  2009,http://link.springer.com/openurl?genre=book&isbn=978-1-4020-6808-9,link.springer.com/content/pdf/10.1007%2F978-1-4020-6808-9.pdf
35.0,Essential Astrophysics,Kenneth R. Lang,2013.0,http://link.springer.com/openurl?genre=book&isbn=978-3-642-35963-7,link.springer.com/content/pdf/10.1007%2F978-3-642-35963-7.pdf
36.0,Introduction to Evolutionary Computing,A.E. Eiben  J.E. Smith,2nd ed.  2015,http://link.springer.com/openurl?genre=book&isbn=978-3-662-44874-8,link.springer.com/content/pdf/10.1007%2F978-3-662-44874-8.pdf
37.0,Data Analysis,Siegmund Brandt,4th ed.  2014,http://link.springer.com/openurl?genre=book&isbn=978-3-319-03762-2,link.springer.com/content/pdf/10.1007%2F978-3-319-03762-2.pdf
38.0,International Perspectives on Psychotherapy,Stefan G. Hofmann,1st ed.  2017,http://link.springer.com/openurl?genre=book&isbn=978-3-319-56194-3,link.springer.com/content/pdf/10.1007%2F978-3-319-56194-3.pdf
39.0,Electrical Machines,Slobodan N. Vukosavic,2012.0,http://link.springer.com/openurl?genre=book&isbn=978-1-4614-0400-2,link.springer.com/content/pdf/10.1007%2F978-1-4614-0400-2.pdf
40.0,Mechanics and Thermodynamics,Wolfgang Demtröder,1st ed.  2017,http://link.springer.com/openurl?genre=book&isbn=978-3-319-27877-3,link.springer.com/content/pdf/10.1007%2F978-3-319-27877-3.pdf
41.0,Applied Behavior Analysis,Kimberly Maich  Darren Levine   Carmen Hall,1st ed.  2016,http://link.springer.com/openurl?genre=book&isbn=978-3-319-44794-0,link.springer.com/content/pdf/10.1007%2F978-3-319-44794-0.pdf
42.0,Reading  Writing  and Proving,Ulrich Daepp  Pamela Gorkin,2nd ed.  2011,http://link.springer.com/openurl?genre=book&isbn=978-1-4419-9479-0,link.springer.com/content/pdf/10.1007%2F978-1-4419-9479-0.pdf
43.0,Linear and Nonlinear Programming,David G. Luenberger  Yinyu Ye,4th ed.  2016,http://link.springer.com/openurl?genre=book&isbn=978-3-319-18842-3,link.springer.com/content/pdf/10.1007%2F978-3-319-18842-3.pdf
44.0,Introduction to Partial Differential Equations,David Borthwick,1st ed.  2016,http://link.springer.com/openurl?genre=book&isbn=978-3-319-48936-0,link.springer.com/content/pdf/10.1007%2F978-3-319-48936-0.pdf
45.0,Energy Storage,Robert Huggins,2nd ed.  2016,http://link.springer.com/openurl?genre=book&isbn=978-3-319-21239-5,link.springer.com/content/pdf/10.1007%2F978-3-319-21239-5.pdf
46.0,Metabolism of Human Diseases,Eckhard Lammert  Martin Zeeb,2014.0,http://link.springer.com/openurl?genre=book&isbn=978-3-7091-0715-7,link.springer.com/content/pdf/10.1007%2F978-3-7091-0715-7.pdf
47.0,Sensory Evaluation of Food,Harry T. Lawless  Hildegarde  Heymann,2nd ed.  2010,http://link.springer.com/openurl?genre=book&isbn=978-1-4419-6488-5,link.springer.com/content/pdf/10.1007%2F978-1-4419-6488-5.pdf
48.0,Fundamentals of Robotic Mechanical Systems,Jorge Angeles,4th ed.  2014,http://link.springer.com/openurl?genre=book&isbn=978-3-319-01851-5,link.springer.com/content/pdf/10.1007%2F978-3-319-01851-5.pdf
49.0,Integrative Human Biochemistry,Andrea T. da Poian  Miguel A. R. B.  Castanho,1st ed.  2015,http://link.springer.com/openurl?genre=book&isbn=978-1-4939-3058-6,link.springer.com/content/pdf/10.1007%2F978-1-4939-3058-6.pdf
50.0,Philosophy of Science for Scientists,Lars-Göran Johansson,1st ed.  2016,http://link.springer.com/openurl?genre=book&isbn=978-3-319-26551-3,link.springer.com/content/pdf/10.1007%2F978-3-319-26551-3.pdf
51.0,Particles and Nuclei,Scholz  Frank Zetsche  Werner  Rodejohann,7th ed.  2015,http://link.springer.com/openurl?genre=book&isbn=978-3-662-46321-5,link.springer.com/content/pdf/10.1007%2F978-3-662-46321-5.pdf
52.0,Data Structures and Algorithms with Python,Kent D. Lee  Steve Hubbard,2015.0,http://link.springer.com/openurl?genre=book&isbn=978-3-319-13072-9,link.springer.com/content/pdf/10.1007%2F978-3-319-13072-9.pdf
53.0,LGBT-Parent Families,Abbie E. Goldberg  Katherine R. Allen,2013.0,http://link.springer.com/openurl?genre=book&isbn=978-1-4614-4556-2,link.springer.com/content/pdf/10.1007%2F978-1-4614-4556-2.pdf
54.0,Integrated Neuroscience,Elliott M. Marcus  Stanley Jacobson,2003.0,http://link.springer.com/openurl?genre=book&isbn=978-1-4615-1077-2,link.springer.com/content/pdf/10.1007%2F978-1-4615-1077-2.pdf
55.0,Introduction to Partial Differential Equations,Peter J. Olver,2014.0,http://link.springer.com/openurl?genre=book&isbn=978-3-319-02099-0,link.springer.com/content/pdf/10.1007%2F978-3-319-02099-0.pdf
56.0,Microeconomics,Peter Dorman,2014.0,http://link.springer.com/openurl?genre=book&isbn=978-3-642-37434-0,link.springer.com/content/pdf/10.1007%2F978-3-642-37434-0.pdf
57.0,System Dynamics,Bilash Kanti Bala  Fatimah Mohamed  Arshad  Kusairi Mohd Noh,1st ed.  2017,http://link.springer.com/openurl?genre=book&isbn=978-981-10-2045-2,link.springer.com/content/pdf/10.1007%2F978-981-10-2045-2.pdf
58.0,Cosmology for the Curious,Delia Perlov  Alex Vilenkin,1st ed.  2017,http://link.springer.com/openurl?genre=book&isbn=978-3-319-57040-2,link.springer.com/content/pdf/10.1007%2F978-3-319-57040-2.pdf
59.0,Methods of Mathematical Modelling,Thomas Witelski  Mark Bowen,1st ed.  2015,http://link.springer.com/openurl?genre=book&isbn=978-3-319-23042-9,link.springer.com/content/pdf/10.1007%2F978-3-319-23042-9.pdf
60.0,Introduction to Logic Circuits & Logic Design with Verilog,Brock J. LaMeres,1st ed.  2017,http://link.springer.com/openurl?genre=book&isbn=978-3-319-53883-9,link.springer.com/content/pdf/10.1007%2F978-3-319-53883-9.pdf
61.0,Structural Analysis,O. A. Bauchau  J.I. Craig,2009.0,http://link.springer.com/openurl?genre=book&isbn=978-90-481-2516-6,link.springer.com/content/pdf/10.1007%2F978-90-481-2516-6.pdf
62.0,Engineering Flow and Heat Exchange,Octave Levenspiel,3rd ed.  2014,http://link.springer.com/openurl?genre=book&isbn=978-1-4899-7454-9,link.springer.com/content/pdf/10.1007%2F978-1-4899-7454-9.pdf
63.0,Enterprise Risk Management Models,David L. Olson  Desheng Dash Wu,2nd ed.  2017,http://link.springer.com/openurl?genre=book&isbn=978-3-662-53785-5,link.springer.com/content/pdf/10.1007%2F978-3-662-53785-5.pdf
64.0,Reactive Power Control in AC Power Systems,Aghbolaghi  Nicu Bizon  Frede  Blaabjerg,1st ed.  2017,http://link.springer.com/openurl?genre=book&isbn=978-3-319-51118-4,link.springer.com/content/pdf/10.1007%2F978-3-319-51118-4.pdf
65.0,Principles of Microeconomics,Martin Kolmar,1st ed.  2017,http://link.springer.com/openurl?genre=book&isbn=978-3-319-57589-6,link.springer.com/content/pdf/10.1007%2F978-3-319-57589-6.pdf
66.0,Additive Manufacturing Technologies,Ian Gibson  David W. Rosen  Brent  Stucker,2010.0,http://link.springer.com/openurl?genre=book&isbn=978-1-4419-1120-9,link.springer.com/content/pdf/10.1007%2F978-1-4419-1120-9.pdf
67.0,Principles of Physics,Hafez  A . Radi  John O Rasmussen,2012.0,http://link.springer.com/openurl?genre=book&isbn=978-3-642-23026-4,link.springer.com/content/pdf/10.1007%2F978-3-642-23026-4.pdf
68.0,Fundamentals of Biomechanics,Nihat Özkaya  Dawn Leger  David  Goldsheyder  Margareta Nordin,4th ed.  2017,http://link.springer.com/openurl?genre=book&isbn=978-3-319-44738-4,link.springer.com/content/pdf/10.1007%2F978-3-319-44738-4.pdf
69.0,Irrigation and Drainage Engineering,Peter Waller  Muluneh Yitayew,1st ed.  2016,http://link.springer.com/openurl?genre=book&isbn=978-3-319-05699-9,link.springer.com/content/pdf/10.1007%2F978-3-319-05699-9.pdf
70.0,LaTeX in 24 Hours,Dilip Datta,1st ed.  2017,http://link.springer.com/openurl?genre=book&isbn=978-3-319-47831-9,link.springer.com/content/pdf/10.1007%2F978-3-319-47831-9.pdf
71.0,Psychology of Perception,Simon Grondin,1st ed.  2016,http://link.springer.com/openurl?genre=book&isbn=978-3-319-31791-5,link.springer.com/content/pdf/10.1007%2F978-3-319-31791-5.pdf
72.0,Extragalactic Astronomy and Cosmology,Peter Schneider,2nd ed.  2015,http://link.springer.com/openurl?genre=book&isbn=978-3-642-54083-7,link.springer.com/content/pdf/10.1007%2F978-3-642-54083-7.pdf
73.0,Automata and Computability,Dexter C. Kozen,1997.0,http://link.springer.com/openurl?genre=book&isbn=978-1-4612-1844-9,link.springer.com/content/pdf/10.1007%2F978-1-4612-1844-9.pdf
74.0,The Algorithm Design Manual,Steven S Skiena,2nd ed.  2008,http://link.springer.com/openurl?genre=book&isbn=978-1-84800-070-4,link.springer.com/content/pdf/10.1007%2F978-1-84800-070-4.pdf
75.0,Chemical Thermodynamics,Ernö Keszei,2012.0,http://link.springer.com/openurl?genre=book&isbn=978-3-642-19864-9,link.springer.com/content/pdf/10.1007%2F978-3-642-19864-9.pdf
76.0,Computational Physics,Philipp O.J. Scherer,3rd ed.  2017,http://link.springer.com/openurl?genre=book&isbn=978-3-319-61088-7,link.springer.com/content/pdf/10.1007%2F978-3-319-61088-7.pdf
77.0,Introduction to Statistics and Data Analysis ,Christian Heumann  Michael  Schomaker   Shalabh,1st ed.  2016,http://link.springer.com/openurl?genre=book&isbn=978-3-319-46162-5,link.springer.com/content/pdf/10.1007%2F978-3-319-46162-5.pdf
78.0,Grammar for Teachers,Andrea DeCapua,2nd ed.  2017,http://link.springer.com/openurl?genre=book&isbn=978-3-319-33916-0,link.springer.com/content/pdf/10.1007%2F978-3-319-33916-0.pdf
79.0,Time Series Econometrics,Klaus Neusser,1st ed.  2016,http://link.springer.com/openurl?genre=book&isbn=978-3-319-32862-1,link.springer.com/content/pdf/10.1007%2F978-3-319-32862-1.pdf
80.0,Electrochemistry,Christine Lefrou  Pierre Fabry  Jean- Claude Poignet,2012.0,http://link.springer.com/openurl?genre=book&isbn=978-3-642-30250-3,link.springer.com/content/pdf/10.1007%2F978-3-642-30250-3.pdf
81.0,Classical Fourier Analysis,Loukas Grafakos,3rd ed.  2014,http://link.springer.com/openurl?genre=book&isbn=978-1-4939-1194-3,link.springer.com/content/pdf/10.1007%2F978-1-4939-1194-3.pdf
82.0,Human Chromosomes,Orlando J. Miller  Eeva Therman,4th ed.  2001,http://link.springer.com/openurl?genre=book&isbn=978-1-4613-0139-4,link.springer.com/content/pdf/10.1007%2F978-1-4613-0139-4.pdf
83.0,Phylogenomics,Christoph Bleidorn,1st ed.  2017,http://link.springer.com/openurl?genre=book&isbn=978-3-319-54064-1,link.springer.com/content/pdf/10.1007%2F978-3-319-54064-1.pdf
84.0,Quantum Theory for Mathematicians,Brian C. Hall,2013.0,http://link.springer.com/openurl?genre=book&isbn=978-1-4614-7116-5,link.springer.com/content/pdf/10.1007%2F978-1-4614-7116-5.pdf
85.0,Evidence-Based Critical Care,Robert C. Hyzy,1st ed.  2017,http://link.springer.com/openurl?genre=book&isbn=978-3-319-43341-7,link.springer.com/content/pdf/10.1007%2F978-3-319-43341-7.pdf
86.0,Clinical Assessment of Child and Adolescent Personality and Behavior,Paul J. Frick  Christopher T. Barry   Randy W. Kamphaus,3rd ed.  2010,http://link.springer.com/openurl?genre=book&isbn=978-1-4419-0641-0,link.springer.com/content/pdf/10.1007%2F978-1-4419-0641-0.pdf
87.0,Design Research in Information Systems,Alan Hevner  Samir Chatterjee,2010.0,http://link.springer.com/openurl?genre=book&isbn=978-1-4419-5653-8,link.springer.com/content/pdf/10.1007%2F978-1-4419-5653-8.pdf
88.0,Intermediate Physics for Medicine and Biology,Russell K. Hobbie  Bradley J. Roth,5th ed.  2015,http://link.springer.com/openurl?genre=book&isbn=978-3-319-12682-1,link.springer.com/content/pdf/10.1007%2F978-3-319-12682-1.pdf
89.0,Principles of Data Mining,Max Bramer,3rd ed.  2016,http://link.springer.com/openurl?genre=book&isbn=978-1-4471-7307-6,link.springer.com/content/pdf/10.1007%2F978-1-4471-7307-6.pdf
90.0,Fundamental Astronomy,Heikki Oja  Markku Poutanen  Karl  Johan Donner,6th ed.  2017,http://link.springer.com/openurl?genre=book&isbn=978-3-662-53045-0,link.springer.com/content/pdf/10.1007%2F978-3-662-53045-0.pdf
91.0,Fundamentals of Business Process Management,Marlon Dumas  Marcello La Rosa  Jan  Mendling  Hajo A. Reijers,2013.0,http://link.springer.com/openurl?genre=book&isbn=978-3-642-33143-5,link.springer.com/content/pdf/10.1007%2F978-3-642-33143-5.pdf
92.0,Brownian Motion  Martingales  and Stochastic Calculus ,Jean-François Le Gall,1st ed.  2016,http://link.springer.com/openurl?genre=book&isbn=978-3-319-31089-3,link.springer.com/content/pdf/10.1007%2F978-3-319-31089-3.pdf
